coordinate,raw_parameter,effective_coefficient,strongest_proxy,strongest_abs_corr,axis_type
base_readout,0.0,1.0,,,fixed_readout
axis_1,0.12359543144702911,0.12296991233780795,nwot,0.966224928081346,principal_axis
axis_2,-0.2533256411552429,-0.24804225875049826,meco,0.5828845556184208,principal_axis
axis_3,0.01421952061355114,0.014218562320172528,swap,0.44811072856305706,principal_axis
axis_4,0.02031104452908039,0.020308251960413023,jacob,0.23054221108712997,principal_axis
axis_5,-0.06699775159358978,-0.06689768701307636,zico,0.21408888428467834,principal_axis
axis_6,0.03614266961812973,0.03612694020340622,zen,0.16997983887033924,principal_axis
axis_7,-0.05785097926855087,-0.05778652823290546,nwot,0.16597630071161615,principal_axis
axis_8,0.005269719287753105,0.005269670508363056,l2_norm,0.1593048426970271,principal_axis
axis_9,-0.21019142866134644,-0.20714972125746933,synflow,0.8127883718891697,residual_complement
